id,B,G,R,class
111,208,218,252,1
112,206,218,252,1
113,206,218,252,1
114,206,218,252,1
115,206,218,254,1
116,206,218,254,1
117,206,217,255,1
118,206,217,255,1
119,209,220,255,1
120,208,219,255,1
121,208,218,255,1
122,207,217,255,1
123,206,216,255,1
124,205,215,255,1
125,204,214,254,1
126,203,213,253,1
127,205,213,253,1
128,206,214,254,1
129,206,214,254,1
130,207,215,255,1
131,208,216,255,1
132,208,216,255,1
133,209,217,255,1
134,209,217,255,1
135,200,208,248,1
136,204,212,252,1
137,207,215,255,1
138,209,217,255,1
139,208,216,255,1
140,207,215,255,1
141,207,215,255,1
142,207,216,254,1
143,207,219,253,1
144,208,221,253,1
145,209,221,255,1
146,209,221,255,1
147,208,220,254,1
148,207,219,253,1
149,205,217,253,1
150,204,216,252,1
151,204,215,253,1
152,203,214,252,1
153,202,212,252,1
154,201,211,251,1
155,201,210,253,1
156,201,210,253,1
157,201,210,253,1
158,202,211,254,1
159,202,212,252,1
160,202,212,252,1
161,203,213,253,1
162,203,213,253,1
163,203,213,253,1
164,204,214,254,1
165,204,214,254,1
166,204,214,254,1
167,202,212,252,1
168,202,212,252,1
169,202,212,252,1
170,202,212,252,1
171,202,212,252,1
172,202,212,252,1
173,202,212,252,1
174,202,212,252,1
175,196,207,251,1
176,195,206,250,1
177,194,205,249,1
178,194,205,249,1
179,194,205,249,1
180,70,81,119,1
181,70,81,119,1
182,70,81,119,1
183,71,82,120,1
184,71,82,120,1
185,72,83,121,1
186,73,84,122,1
187,74,85,123,1
188,74,85,123,1
189,74,85,123,1
190,74,85,123,1
191,75,86,124,1
192,75,86,124,1
193,76,87,125,1
194,76,87,125,1
195,76,87,125,1
196,77,85,125,1
197,78,86,126,1
198,78,86,126,1
199,77,85,125,1
200,75,83,123,1
201,76,84,124,1
202,78,86,126,1
203,81,89,129,1
204,83,91,131,1
205,85,93,133,1
206,85,93,133,1
207,85,93,133,1
208,83,91,131,1
209,82,90,130,1
210,83,91,131,1
211,84,92,132,1
212,80,88,128,1
213,81,89,129,1
214,82,90,130,1
215,84,92,132,1
216,84,92,132,1
217,84,92,132,1
218,83,91,131,1
219,82,90,130,1
220,84,92,132,1
221,81,89,129,1
222,79,87,127,1
223,79,87,127,1
224,82,90,130,1
225,83,91,131,1
226,82,90,130,1
227,78,88,128,1
228,81,91,131,1
229,80,92,132,1
230,81,93,133,1
231,81,93,133,1
232,81,93,133,1
233,81,93,133,1
234,80,92,132,1
235,79,91,131,1
236,81,93,133,1
237,80,92,132,1
238,80,92,132,1
239,79,91,131,1
240,79,91,131,1
241,78,90,130,1
242,78,90,130,1
243,75,90,129,1
244,75,90,129,1
245,75,90,129,1
246,78,88,128,1
247,79,87,127,1
248,80,86,129,1
249,78,85,128,1
250,75,84,128,1
251,69,85,128,1
252,63,84,129,1
253,153,180,224,1
254,146,178,221,1
255,150,182,225,1
256,157,186,231,1
257,164,190,236,1
258,166,189,235,1
259,168,190,238,1
260,171,192,244,1
261,173,193,248,1
262,177,197,252,1
263,183,201,254,1
264,188,205,255,1
265,193,208,255,1
266,195,210,255,1
267,197,210,254,1
268,204,213,255,1
269,208,217,255,1
270,212,220,255,1
271,217,223,255,1
272,221,226,255,1
273,223,226,255,1
274,224,226,255,1
275,222,225,255,1
276,212,218,253,1
277,209,217,254,1
278,208,216,253,1
279,207,215,252,1
280,206,214,251,1
281,206,214,251,1
282,206,214,251,1
283,206,214,251,1
284,214,222,255,1
285,214,222,255,1
286,214,222,255,1
287,212,220,255,1
288,211,219,255,1
289,209,217,254,1
290,208,216,253,1
291,206,215,252,1
292,207,217,251,1
293,206,218,252,1
294,206,218,252,1
295,206,218,252,1
296,206,218,254,1
297,206,218,254,1
298,206,217,255,1
299,207,218,255,1
300,206,217,255,1
301,206,217,255,1
302,206,216,255,1
303,205,215,255,1
304,204,214,254,1
305,204,214,254,1
306,203,213,253,1
307,203,213,253,1
308,203,211,251,1
309,203,211,251,1
310,203,211,251,1
311,204,212,252,1
312,204,212,252,1
313,204,212,252,1
314,205,213,253,1
315,205,213,253,1
316,201,209,249,1
317,204,212,252,1
318,208,216,255,1
319,209,217,255,1
320,208,216,255,1
321,207,215,255,1
322,207,215,255,1
323,208,217,255,1
324,206,218,252,1
325,207,220,252,1
326,208,220,254,1
327,208,220,254,1
328,208,220,254,1
329,207,219,253,1
330,206,218,254,1
331,205,217,253,1
332,204,215,253,1
333,204,215,253,1
334,203,213,253,1
335,202,212,252,1
336,202,211,254,1
337,202,211,254,1
338,202,211,254,1
339,202,211,254,1
340,204,214,254,1
341,204,214,254,1
342,204,214,254,1
343,203,213,253,1
344,202,212,252,1
345,202,212,252,1
346,202,212,252,1
347,201,211,251,1
348,202,212,252,1
349,202,212,252,1
350,202,212,252,1
351,202,212,252,1
352,202,212,252,1
353,202,212,252,1
354,202,212,252,1
355,202,212,252,1
356,200,211,255,1
357,199,210,254,1
358,199,210,254,1
359,198,209,253,1
360,198,209,253,1
361,71,82,120,1
362,71,82,120,1
363,71,82,120,1
364,72,83,121,1
365,73,84,122,1
366,74,85,123,1
367,74,85,123,1
368,74,85,123,1
369,71,82,120,1
370,72,83,121,1
371,72,83,121,1
372,72,83,121,1
373,73,84,122,1
374,73,84,122,1
375,73,84,122,1
376,74,85,123,1
377,76,84,124,1
378,77,85,125,1
379,78,86,126,1
380,76,84,124,1
381,74,82,122,1
382,74,82,122,1
383,76,84,124,1
384,78,86,126,1
385,81,89,129,1
386,82,90,130,1
387,84,92,132,1
388,84,92,132,1
389,83,91,131,1
390,82,90,130,1
391,84,92,132,1
392,86,94,134,1
393,82,90,130,1
394,83,91,131,1
395,84,92,132,1
396,85,93,133,1
397,85,93,133,1
398,85,93,133,1
399,84,92,132,1
400,84,92,132,1
401,82,90,130,1
402,81,89,129,1
403,79,87,127,1
404,79,87,127,1
405,81,89,129,1
406,82,90,130,1
407,81,89,129,1
408,79,89,129,1
409,83,93,133,1
410,81,93,133,1
411,82,94,134,1
412,82,94,134,1
413,82,94,134,1
414,81,93,133,1
415,80,92,132,1
416,80,92,132,1
417,79,91,131,1
418,79,91,131,1
419,79,91,131,1
420,79,91,131,1
421,79,91,131,1
422,79,91,131,1
423,79,91,131,1
424,77,92,131,1
425,75,90,129,1
426,75,90,129,1
427,78,88,128,1
428,79,87,127,1
429,80,86,129,1
430,79,85,128,1
431,75,84,128,1
432,69,85,128,1
433,65,86,131,1
434,158,183,227,1
435,151,180,225,1
436,153,184,229,1
437,158,187,232,1
438,166,190,236,1
439,168,188,236,1
440,170,190,238,1
441,173,191,244,1
442,175,193,246,1
443,179,197,250,1
444,185,202,253,1
445,188,205,254,1
446,192,208,255,1
447,194,209,255,1
448,196,209,253,1
449,203,212,255,1
450,208,217,255,1
451,215,223,255,1
452,221,227,255,1
453,225,230,255,1
454,223,228,255,1
455,222,225,255,1
456,218,223,255,1
457,209,215,250,1
458,208,216,253,1
459,209,217,254,1
460,209,217,254,1
461,209,217,254,1
462,209,217,254,1
463,208,216,253,1
464,208,216,253,1
465,208,216,253,1
466,208,216,253,1
467,208,216,253,1
468,207,215,252,1
469,206,214,251,1
470,205,213,250,1
471,205,213,250,1
472,203,212,249,1
473,207,216,253,1
474,205,217,253,1
475,205,217,253,1
476,206,218,254,1
477,206,218,254,1
478,207,219,255,1
479,207,218,255,1
480,207,218,255,1
481,204,215,253,1
482,204,215,253,1
483,204,214,254,1
484,203,213,253,1
485,203,213,253,1
486,203,213,253,1
487,203,212,255,1
488,203,212,255,1
489,207,215,255,1
490,207,215,255,1
491,206,214,254,1
492,206,214,254,1
493,206,214,254,1
494,206,214,254,1
495,205,213,253,1
496,205,213,253,1
497,201,209,249,1
498,204,212,252,1
499,207,215,255,1
500,208,216,255,1
501,208,216,255,1
502,207,215,255,1
503,207,215,255,1
504,208,217,255,1
505,205,217,253,1
506,205,217,251,1
507,206,218,252,1
508,207,219,253,1
509,207,219,255,1
510,207,219,255,1
511,206,217,255,1
512,206,217,255,1
513,205,215,255,1
514,205,215,255,1
515,204,214,254,1
516,203,213,253,1
517,202,211,254,1
518,203,212,255,1
519,203,212,255,1
520,203,212,255,1
521,205,215,255,1
522,205,215,255,1
523,204,214,254,1
524,203,213,253,1
525,202,212,252,1
526,200,210,250,1
527,199,209,249,1
528,199,209,249,1
529,202,212,252,1
530,202,212,252,1
531,202,212,252,1
532,202,212,252,1
533,202,212,252,1
534,202,212,252,1
535,202,212,252,1
536,202,212,252,1
537,202,213,255,1
538,201,212,255,1
539,200,211,255,1
540,200,211,255,1
541,200,211,255,1
542,75,86,124,1
543,75,86,124,1
544,74,85,123,1
545,74,85,123,1
546,73,84,122,1
547,72,83,121,1
548,71,82,120,1
549,71,82,120,1
550,71,82,120,1
551,71,82,120,1
552,71,82,120,1
553,71,82,120,1
554,72,83,121,1
555,72,83,121,1
556,72,83,121,1
557,73,84,122,1
558,76,84,124,1
559,77,85,125,1
560,77,85,125,1
561,76,84,124,1
562,74,82,122,1
563,73,81,121,1
564,74,82,122,1
565,75,83,123,1
566,77,85,125,1
567,78,86,126,1
568,80,88,128,1
569,79,87,127,1
570,78,86,126,1
571,78,86,126,1
572,79,87,127,1
573,81,89,129,1
574,83,91,131,1
575,83,91,131,1
576,83,91,131,1
577,84,92,132,1
578,84,92,132,1
579,84,92,132,1
580,83,91,131,1
581,83,91,131,1
582,80,88,128,1
583,79,87,127,1
584,78,86,126,1
585,78,86,126,1
586,79,87,127,1
587,80,88,128,1
588,80,88,128,1
589,80,88,128,1
590,80,90,130,1
591,79,91,131,1
592,80,92,132,1
593,81,93,133,1
594,82,94,134,1
595,82,94,134,1
596,82,94,134,1
597,81,93,133,1
598,80,92,132,1
599,80,92,132,1
600,79,91,131,1
601,79,91,131,1
602,79,91,131,1
603,79,91,131,1
604,78,90,130,1
605,78,90,130,1
606,75,90,129,1
607,75,90,129,1
608,78,88,128,1
609,79,87,127,1
610,80,86,129,1
611,79,85,128,1
612,75,84,128,1
613,71,84,128,1
614,68,87,132,1
615,160,185,229,1
616,155,184,229,1
617,157,186,231,1
618,161,187,233,1
619,167,190,238,1
620,171,188,237,1
621,173,190,239,1
622,175,192,243,1
623,177,194,245,1
624,181,198,247,1
625,186,201,250,1
626,189,205,252,1
627,191,206,252,1
628,194,207,251,1
629,196,208,250,1
630,204,214,254,1
631,206,217,255,1
632,213,221,255,1
633,216,225,255,1
634,219,225,255,1
635,219,224,255,1
636,215,220,253,1
637,213,218,251,1
638,211,217,252,1
639,210,218,255,1
640,212,220,255,1
641,213,221,255,1
642,213,221,255,1
643,212,220,255,1
644,210,218,255,1
645,209,217,254,1
646,202,210,247,1
647,202,210,247,1
648,203,211,248,1
649,203,211,248,1
650,205,213,250,1
651,206,214,251,1
652,208,216,253,1
653,207,216,253,1
654,206,215,252,1
655,204,216,252,1
656,205,217,253,1
657,206,218,254,1
658,206,218,254,1
659,207,219,255,1
660,208,219,255,1
661,208,219,255,1
662,203,214,252,1
663,203,214,252,1
664,203,213,253,1
665,203,213,253,1
666,204,214,254,1
667,204,214,254,1
668,204,213,255,1
669,204,213,255,1
670,209,217,255,1
671,209,217,255,1
672,208,216,255,1
673,207,215,255,1
674,207,215,255,1
675,206,214,254,1
676,205,213,253,1
677,205,213,253,1
678,200,208,248,1
679,203,211,251,1
680,205,213,253,1
681,206,214,254,1
682,206,214,254,1
683,205,213,253,1
684,206,214,254,1
685,207,216,254,1
686,203,215,251,1
687,204,216,250,1
688,205,217,251,1
689,205,217,251,1
690,206,218,254,1
691,206,218,254,1
692,207,218,255,1
693,207,218,255,1
694,206,216,255,1
695,205,215,255,1
696,204,214,254,1
697,204,214,254,1
698,203,212,255,1
699,203,212,255,1
700,204,213,255,1
701,204,213,255,1
702,204,214,254,1
703,203,213,253,1
704,203,213,253,1
705,202,212,252,1
706,201,211,251,1
707,200,210,250,1
708,199,209,249,1
709,199,209,249,1
710,201,211,251,1
711,201,211,251,1
712,201,211,251,1
713,201,211,251,1
714,201,211,251,1
715,201,211,251,1
716,201,211,251,1
717,201,211,251,1
718,200,211,255,1
719,199,210,254,1
720,198,209,253,1
721,198,209,253,1
722,198,209,253,1
723,74,84,124,1
724,74,84,124,1
725,75,85,125,1
726,75,85,125,1
727,74,84,124,1
728,73,83,123,1
729,71,81,121,1
730,70,80,120,1
731,71,81,121,1
732,71,81,121,1
733,72,82,122,1
734,72,82,122,1
735,72,82,122,1
736,73,83,123,1
737,73,83,123,1
738,73,83,123,1
739,75,82,125,1
740,76,83,126,1
741,77,84,127,1
742,76,83,126,1
743,74,81,124,1
744,72,79,122,1
745,73,80,123,1
746,74,81,124,1
747,76,83,126,1
748,78,85,128,1
749,79,86,129,1
750,78,85,128,1
751,76,83,126,1
752,75,82,125,1
753,76,83,126,1
754,77,84,127,1
755,82,90,130,1
756,81,89,129,1
757,81,89,129,1
758,81,89,129,1
759,81,89,129,1
760,81,89,129,1
761,81,89,129,1
762,81,89,129,1
763,77,85,125,1
764,78,86,126,1
765,78,86,126,1
766,77,85,125,1
767,77,85,125,1
768,78,86,126,1
769,80,88,128,1
770,81,89,129,1
771,77,87,127,1
772,78,88,128,1
773,79,89,129,1
774,81,91,131,1
775,83,93,133,1
776,84,94,134,1
777,84,94,134,1
778,84,94,134,1
779,84,94,134,1
780,84,94,134,1
781,83,93,133,1
782,82,92,132,1
783,80,90,130,1
784,79,89,129,1
785,78,88,128,1
786,76,88,128,1
787,75,90,129,1
788,75,90,129,1
789,76,88,128,1
790,79,87,127,1
791,80,86,129,1
792,79,85,128,1
793,77,83,128,1
794,71,84,128,1
795,67,86,131,1
796,162,185,231,1
797,159,185,232,1
798,159,187,234,1
799,164,187,235,1
800,168,189,240,1
801,173,187,239,1
802,176,191,240,1
803,181,197,244,1
804,182,198,245,1
805,185,201,248,1
806,189,204,250,1
807,192,207,253,1
808,195,208,252,1
809,195,208,252,1
810,197,209,251,1
811,208,218,255,1
812,209,220,255,1
813,212,220,255,1
814,211,220,254,1
815,212,218,253,1
816,211,217,252,1
817,210,216,251,1
818,209,215,250,1
819,207,215,252,1
820,208,216,253,1
821,209,217,254,1
822,209,217,254,1
823,208,216,253,1
824,207,215,252,1
825,205,213,250,1
826,203,211,248,1
827,206,214,251,1
828,206,214,251,1
829,206,214,251,1
830,207,215,252,1
831,209,217,254,1
832,211,219,255,1
833,213,221,255,1
834,213,222,255,1
835,207,216,253,1
836,205,217,253,1
837,205,217,253,1
838,206,218,254,1
839,206,217,255,1
840,207,218,255,1
841,207,218,255,1
842,207,218,255,1
843,204,214,254,1
844,204,214,254,1
845,204,214,254,1
846,204,214,254,1
847,205,214,255,1
848,205,214,255,1
849,205,214,255,1
850,205,214,255,1
851,206,213,255,1
852,205,212,255,1
853,205,212,255,1
854,204,211,254,1
855,202,209,252,1
856,201,208,251,1
857,201,208,251,1
858,200,207,250,1
859,199,206,249,1
860,201,208,251,1
861,203,210,253,1
862,204,211,254,1
863,203,210,253,1
864,203,210,253,1
865,204,211,254,1
866,206,214,254,1
867,203,214,252,1
868,203,215,251,1
869,204,216,252,1
870,204,216,252,1
871,205,216,254,1
872,205,216,254,1
873,206,217,255,1
874,207,218,255,1
875,206,216,255,1
876,205,215,255,1
877,204,214,254,1
878,204,214,254,1
879,203,212,255,1
880,203,212,255,1
881,204,213,255,1
882,204,213,255,1
883,200,210,250,1
884,200,210,250,1
885,200,210,250,1
886,201,211,251,1
887,201,211,251,1
888,201,211,251,1
889,201,211,251,1
890,201,211,251,1
891,201,211,251,1
892,201,211,251,1
893,201,211,251,1
894,201,211,251,1
895,201,211,251,1
896,201,211,251,1
897,201,211,251,1
898,201,211,251,1
899,198,209,253,1
900,198,209,253,1
901,197,208,252,1
902,197,208,252,1
903,197,208,252,1
904,69,79,119,1
905,70,80,120,1
906,72,82,122,1
907,74,84,124,1
908,75,85,125,1
909,74,84,124,1
910,73,83,123,1
911,73,83,123,1
912,72,82,122,1
913,72,82,122,1
914,72,82,122,1
915,72,82,122,1
916,73,83,123,1
917,73,83,123,1
918,73,83,123,1
919,74,84,124,1
920,74,81,124,1
921,75,82,125,1
922,77,84,127,1
923,77,84,127,1
924,75,82,125,1
925,74,81,124,1
926,74,81,124,1
927,75,82,125,1
928,78,85,128,1
929,80,87,130,1
930,80,87,130,1
931,79,86,129,1
932,77,84,127,1
933,76,83,126,1
934,77,84,127,1
935,78,85,128,1
936,81,89,129,1
937,80,88,128,1
938,79,87,127,1
939,78,86,126,1
940,78,86,126,1
941,78,86,126,1
942,79,87,127,1
943,79,87,127,1
944,77,85,125,1
945,78,86,126,1
946,79,87,127,1
947,79,87,127,1
948,78,86,126,1
949,79,87,127,1
950,81,89,129,1
951,83,91,131,1
952,76,86,126,1
953,77,87,127,1
954,79,89,129,1
955,81,91,131,1
956,82,92,132,1
957,83,93,133,1
958,84,94,134,1
959,84,94,134,1
960,85,95,135,1
961,85,95,135,1
962,83,93,133,1
963,82,92,132,1
964,80,90,130,1
965,79,89,129,1
966,77,87,127,1
967,75,87,127,1
968,75,90,129,1
969,75,90,129,1
970,76,88,128,1
971,79,87,127,1
972,80,86,129,1
973,79,85,128,1
974,77,83,128,1
975,71,84,130,1
976,65,83,130,1
977,161,184,230,1
978,159,185,232,1
979,162,188,235,1
980,165,188,238,1
981,170,189,240,1
982,173,187,239,1
983,178,191,243,1
984,185,201,248,1
985,187,203,249,1
986,191,206,252,1
987,193,209,252,1
988,197,210,254,1
989,198,212,254,1
990,200,212,254,1
991,199,211,251,1
992,213,223,255,1
993,211,222,255,1
994,210,219,255,1
995,209,217,254,1
996,210,216,253,1
997,210,216,251,1
998,210,216,251,1
999,209,218,252,1
1000,208,216,253,1
1001,208,216,253,1
1002,208,216,253,1
1003,208,216,253,1
1004,207,215,252,1
1005,205,213,250,1
1006,204,212,249,1
1007,203,211,248,1
1008,211,219,255,1
1009,210,218,255,1
1010,208,216,253,1
1011,207,215,252,1
1012,207,215,252,1
1013,208,216,253,1
1014,209,217,254,1
1015,209,218,255,1
1016,206,218,254,1
1017,206,218,254,1
1018,206,218,254,1
1019,206,218,254,1
1020,206,217,255,1
1021,206,217,255,1
1022,206,217,255,1
1023,206,217,255,1
1024,205,215,255,1
1025,205,215,255,1
1026,205,215,255,1
1027,205,215,255,1
1028,205,214,255,1
1029,204,213,255,1
1030,204,213,255,1
1031,204,213,255,1
1032,207,214,255,1
1033,206,213,255,1
1034,205,212,255,1
1035,205,212,255,1
1036,203,210,253,1
1037,203,210,253,1
1038,202,209,252,1
1039,201,208,251,1
1040,200,207,250,1
1041,201,208,251,1
1042,203,210,253,1
1043,203,210,253,1
1044,202,209,252,1
1045,202,209,252,1
1046,204,211,254,1
1047,206,214,254,1
1048,204,215,253,1
1049,204,216,252,1
1050,203,214,252,1
1051,203,214,252,1
1052,203,214,252,1
1053,204,215,253,1
1054,205,216,254,1
1055,205,216,254,1
1056,205,215,255,1
1057,205,215,255,1
1058,204,214,254,1
1059,203,213,253,1
1060,202,211,254,1
1061,203,212,255,1
1062,203,212,255,1
1063,203,212,255,1
1064,199,209,249,1
1065,199,209,249,1
1066,199,209,249,1
1067,200,210,250,1
1068,200,210,250,1
1069,200,210,250,1
1070,201,211,251,1
1071,201,211,251,1
1072,200,210,250,1
1073,200,210,250,1
1074,200,210,250,1
1075,200,210,250,1
1076,200,210,250,1
1077,200,210,250,1
1078,200,210,250,1
1079,200,210,250,1
1080,199,210,254,1
1081,199,210,254,1
1082,198,209,253,1
1083,198,209,253,1
1084,198,209,253,1
1085,67,77,117,1
1086,69,79,119,1
1087,71,81,121,1
1088,73,83,123,1
1089,74,84,124,1
1090,74,84,124,1
1091,72,82,122,1
1092,71,81,121,1
1093,71,81,121,1
1094,71,81,121,1
1095,71,81,121,1
1096,72,82,122,1
1097,72,82,122,1
1098,73,83,123,1
1099,73,83,123,1
1100,73,83,123,1
1101,72,79,122,1
1102,75,82,125,1
1103,77,84,127,1
1104,78,85,128,1
1105,76,83,126,1
1106,75,82,125,1
1107,75,82,125,1
1108,76,83,126,1
1109,78,85,128,1
1110,79,86,129,1
1111,81,88,131,1
1112,80,87,130,1
1113,79,86,129,1
1114,79,86,129,1
1115,80,87,130,1
1116,82,89,132,1
1117,81,89,129,1
1118,80,88,128,1
1119,79,87,127,1
1120,77,85,125,1
1121,77,85,125,1
1122,77,85,125,1
1123,78,86,126,1
1124,79,87,127,1
1125,79,87,127,1
1126,81,89,129,1
1127,83,91,131,1
1128,82,90,130,1
1129,81,89,129,1
1130,81,89,129,1
1131,84,92,132,1
1132,87,95,135,1
1133,80,90,130,1
1134,81,91,131,1
1135,82,92,132,1
1136,82,92,132,1
1137,83,93,133,1
1138,83,93,133,1
1139,82,92,132,1
1140,82,92,132,1
1141,84,94,134,1
1142,83,93,133,1
1143,82,92,132,1
1144,82,92,132,1
1145,80,90,130,1
1146,80,90,130,1
1147,79,89,129,1
1148,76,88,128,1
1149,75,91,128,1
1150,75,91,128,1
1151,78,88,128,1
1152,79,87,127,1
1153,80,86,129,1
1154,79,85,128,1
1155,77,83,128,1
1156,71,84,130,1
1157,62,80,127,1
1158,159,183,229,1
1159,159,185,232,1
1160,162,187,237,1
1161,165,187,239,1
1162,170,188,241,1
1163,172,188,241,1
1164,178,192,244,1
1165,186,202,249,1
1166,187,204,247,1
1167,191,207,250,1
1168,193,209,252,1
1169,197,210,254,1
1170,197,211,253,1
1171,199,211,253,1
1172,198,210,250,1
1173,210,220,255,1
1174,208,219,255,1
1175,209,218,255,1
1176,207,216,254,1
1177,208,215,254,1
1178,208,216,253,1
1179,209,217,254,1
1180,210,218,255,1
1181,211,218,255,1
1182,209,218,255,1
1183,208,217,255,1
1184,208,217,255,1
1185,208,217,255,1
1186,208,217,255,1
1187,209,218,255,1
1188,209,218,255,1
1189,208,217,255,1
1190,207,216,254,1
1191,205,214,252,1
1192,203,212,250,1
1193,202,211,249,1
1194,203,212,250,1
1195,205,214,252,1
1196,206,215,253,1
1197,208,219,255,1
1198,208,219,255,1
1199,207,218,255,1
1200,206,217,255,1
1201,206,217,255,1
1202,205,216,254,1
1203,204,214,254,1
1204,204,214,254,1
1205,205,215,255,1
1206,205,215,255,1
1207,204,213,255,1
1208,204,213,255,1
1209,203,212,255,1
1210,202,211,254,1
1211,202,211,255,1
1212,202,211,255,1
1213,206,215,255,1
1214,206,215,255,1
1215,205,214,255,1
1216,205,214,255,1
1217,204,213,255,1
1218,203,212,255,1
1219,203,212,255,1
1220,203,212,255,1
1221,200,209,252,1
1222,201,210,253,1
1223,202,211,254,1
1224,202,211,254,1
1225,201,210,253,1
1226,202,211,254,1
1227,204,213,255,1
1228,206,215,255,1
1229,205,215,255,1
1230,204,215,253,1
1231,203,213,253,1
1232,202,212,252,1
1233,202,212,252,1
1234,202,212,252,1
1235,203,213,253,1
1236,204,214,254,1
1237,204,214,254,1
1238,204,214,254,1
1239,203,213,253,1
1240,202,212,252,1
1241,202,211,254,1
1242,202,211,254,1
1243,202,211,254,1
1244,202,211,254,1
1245,200,210,250,1
1246,200,210,250,1
1247,200,210,250,1
1248,199,209,249,1
1249,199,209,249,1
1250,199,209,249,1
1251,199,209,249,1
1252,199,209,249,1
1253,200,210,250,1
1254,200,210,250,1
1255,200,210,250,1
1256,200,210,250,1
1257,200,210,250,1
1258,200,210,250,1
1259,200,210,250,1
1260,200,210,250,1
1261,199,210,254,1
1262,199,210,254,1
1263,198,209,253,1
1264,198,209,253,1
1265,198,209,253,1
1266,70,80,120,1
1267,71,81,121,1
1268,73,83,123,1
1269,74,84,124,1
1270,73,83,123,1
1271,71,81,121,1
1272,68,78,118,1
1273,67,77,117,1
1274,70,80,120,1
1275,70,80,120,1
1276,70,80,120,1
1277,71,81,121,1
1278,71,81,121,1
1279,72,82,122,1
1280,72,82,122,1
1281,72,82,122,1
1282,72,79,122,1
1283,74,81,124,1
1284,77,84,127,1
1285,78,85,128,1
1286,77,84,127,1
1287,76,83,126,1
1288,77,84,127,1
1289,77,84,127,1
1290,74,81,124,1
1291,76,83,126,1
1292,78,85,128,1
1293,79,86,129,1
1294,79,86,129,1
1295,79,86,129,1
1296,81,88,131,1
1297,83,90,133,1
1298,82,90,130,1
1299,81,89,129,1
1300,79,87,127,1
1301,78,86,126,1
1302,77,85,125,1
1303,77,85,125,1
1304,78,86,126,1
1305,79,87,127,1
1306,82,90,130,1
1307,84,92,132,1
1308,86,94,134,1
1309,85,93,133,1
1310,84,92,132,1
1311,84,92,132,1
1312,87,95,135,1
1313,91,99,139,1
1314,85,95,135,1
1315,85,95,135,1
1316,85,95,135,1
1317,84,94,134,1
1318,83,93,133,1
1319,82,92,132,1
1320,81,91,131,1
1321,80,90,130,1
1322,81,91,131,1
1323,81,91,131,1
1324,81,91,131,1
1325,81,91,131,1
1326,81,91,131,1
1327,81,91,131,1
1328,81,91,131,1
1329,79,91,131,1
1330,75,91,128,1
1331,75,91,128,1
1332,78,88,128,1
1333,79,87,127,1
1334,82,85,129,1
1335,79,85,128,1
1336,77,83,130,1
1337,71,84,130,1
1338,60,78,125,1
1339,158,181,229,1
1340,157,184,234,1
1341,160,187,237,1
1342,165,187,239,1
1343,167,188,240,1
1344,172,187,243,1
1345,177,193,246,1
1346,181,199,246,1
1347,182,201,244,1
1348,187,204,247,1
1349,189,206,249,1
1350,191,207,250,1
1351,194,208,250,1
1352,193,207,249,1
1353,195,207,247,1
1354,201,213,253,1
1355,204,214,254,1
1356,204,214,254,1
1357,206,215,253,1
1358,207,216,254,1
1359,208,215,254,1
1360,209,216,255,1
1361,209,218,255,1
